"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"21/11/2018";427248874;"AP";"Outro";"850050";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24120819;16277557;"01/11/2018";"PRESTAÇÃO DE SERVIÇOS DE AUXILIAR DE ESCRITÓRIO NA";"1400,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"21/11/2018";427248874;"AP";"Outro";"850056";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";24120822;16277564;"05/11/2018";"SERVIÇOS ADVOCATÍCIOS PARA AS ELEIÇÕES 2018";"20000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"21/11/2018";427248874;"AP";"Outro";"850057";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24120804;16277585;"05/11/2018";"PRESTAÇÃO DE SERVIÇOS DE MOTORISTA";"1400,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"28/11/2018";422517477;"AP";"Outro";"#NULO";1;"Outros Recursos";20410000;"Taxa de Administração de Financiamento Coletivo";1;"Financeiro";9;"Não informado";24429264;16609923;"19/09/2018";"Taxa Administração Financiamento Coletivo";"4524,82"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"06/05/2019";427243408;"AP";"Outro";"850073";2;"Fundo Especial de Financiamento de Campanha";20310000;"Produção de jingles, vinhetas e slogans";1;"Financeiro";0;"Cheque";25066994;17271625;"17/09/2018";"SERVIÇO DE ELABORAÇÃO DE JINGLE";"1000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"08/11/2018";419492324;"AP";"Outro";"551343000004176";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";1;"Transferência eletrônica";23577933;15720008;"13/09/2018";"LOCACAO DE VEICULO CAMINHONET MONTANA 2013/2013";"2500,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"08/11/2018";419492324;"AP";"Outro";"552825000010065";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";1;"Transferência eletrônica";23577934;15720021;"14/09/2018";"LOCAÇÃO DE VEICULO FIAT DOBLO 2011/2011";"3000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"08/11/2018";419492324;"AP";"Outro";"554544000036317";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";1;"Transferência eletrônica";23577895;15720027;"14/09/2018";"LOCAÇÃO DE VEICULO TOYOTA ETIOS HB 2016/2017";"2500,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"08/11/2018";419492324;"AP";"Outro";"91702";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";1;"Transferência eletrônica";23577916;15720036;"17/09/2018";"LOCAÇÃO DE VEICULO GOL 2017/2017";"2000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"21/11/2018";427243406;"AP";"Outro";"5367657633973";0;"Fundo Partidário";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";6;"Boleto de cobrança";24091617;16247164;"12/09/2018";"DESPESAS COM IMPULSIONAMENTO FACEBOOK";"4000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"09/11/2018";423147096;"AP";"Outro";"#NULO";1;"Outros Recursos";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";8;"Débito em conta";23613112;15759461;"04/10/2018";"IMPUSIONAMENTO DE CAMPANHA";"500,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"16/07/2019";427245064;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25190749;17402266;"15/10/2018";"TAR BANCARIA";"3,40"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"16/07/2019";427245064;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25190740;17402261;"10/09/2018";"TARIFA BANCARIA";"13,40"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"19/06/2019";417251184;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25148917;17357252;"03/09/2018";"TARIFA FORNECIMENTO CH";"66,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Outro";"850036";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";24698092;16896039;"17/09/2018";"SERVIÇOS DE COORDENAÇÃO DE MOBILIZAÇÃO";"4000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Cupom Fiscal";"850013";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";24698104;16896010;"11/09/2018";"GASOLINA COMUM";"565,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Outro";"850059";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24698101;16896059;"21/09/2018";"LOCAÇÃO VEICULO VW/GOL 1·0 PLACA NEQ5273";"1000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"29/11/2018";422800815;"AP";"Outro";"850009";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24456666;16638797;"28/09/2018";"SERVIÇOS DE MOTORISTA E MOBILIZAÇÃO DE RUAS";"4600,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"11/09/2019";417251007;"AP";"Outro";"850001";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";25273035;17487612;"03/09/2018";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS";"120,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"11/09/2019";417251007;"AP";"Outro";"850016";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";25273023;17487623;"04/09/2018";"ATIVIDADE DE MILITANCIA E MOBILIZAÇÃO";"1000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850053";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243937;16407251;"20/09/2018";"SERVIÇOS DE CABO ELEITORAL CFE. NFS-E 3506";"950,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850067";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243856;16407264;"20/09/2018";"SERVIÇOS DE CABO ELEITORAL CFE. NFS-E 3547";"950,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850061";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243938;16407261;"20/09/2018";"SERVIÇOS DE CABO ELEITORAL CFE. NFS-E 3520";"950,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"11/02/2019";423147123;"AP";"Outro";"#NULO";0;"Fundo Partidário";20150000;"Alimentação";1;"Financeiro";5;"Em espécie";24900103;17103312;"02/10/2018";"LANCHE PARA CAMPANHA";"10,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"11/02/2019";423147123;"AP";"Outro";"#NULO";0;"Fundo Partidário";20300000;"Telefone";1;"Financeiro";5;"Em espécie";24900078;17103327;"06/10/2018";"CREDITO PARA CELULAR PARA USO EM CAMPANHA ELEITORA";"10,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"11/02/2019";423147123;"AP";"Outro";"#NULO";0;"Fundo Partidário";20300000;"Telefone";1;"Financeiro";5;"Em espécie";24900079;17103329;"02/10/2018";"CREDITO PARA TELEFONE PARA CAMPANHA ELEITORAL";"10,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"19/12/2018";427245053;"AP";"Outro";"850007";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24772323;16974948;"12/09/2018";"CHEVROLET CRUZE LT PLACA NEM 9799";"3510,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"22/05/2019";417253014;"AP";"Outro";"#NULO";1;"Outros Recursos";20410000;"Taxa de Administração de Financiamento Coletivo";1;"Financeiro";9;"Não informado";25097787;17302995;"05/10/2018";"Taxa Administração Financiamento Coletivo";"5,90"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"25/06/2019";423096566;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25149758;17358087;"24/09/2018";"TARIFA DOC/TED REF. A 24/09 | TARIFA DOC/TED REF. A 24/09 | TARIFA TRANSF. RECURSO E/I REF. A 24/09 | TARIFA TRANSF. RECURSO E/I REF. A 2409";"22,60"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"13/06/2022";423099102;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";41485591;28103127;"05/10/2018";"TARIFA DE TRANSAÇÃO COM CHEQUES";"2,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"13/06/2022";423099102;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";41485633;28103130;"06/10/2018";"TARIFA DE TRANSAÇÃO COM CHEQUES";"2,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"13/06/2022";423099102;"AP";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";41485598;28103167;"06/10/2018";"TARIFA DE TRANSAÇÃO COM CHEQUES";"62,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"20/10/2022";427243404;"AP";"Recibo";"850005";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";47036027;32376740;"12/09/2018";"DESPESA COM ASSESSORIA JURÍDICA";"30000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Outro";"850051";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24698109;16896052;"18/09/2018";"LOCAÇÃO VEICULO VW/NOVO VOYAGE PLACA NEI4552";"1000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"06/11/2018";417253147;"AP";"Outro";"850003";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";23326535;15453484;"06/09/2018";"LOCAÇÃO DE VEICULO VX SAVEIRO CS";"1750,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"31/01/2019";422493594;"AP";"Outro";"850001";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24872050;17074093;"18/09/2018";"FORD/FIESTA 1.6 FLEX PLACA NFA 4581 COR PRATA";"3000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"91802";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";1;"Transferência eletrônica";24243871;16407237;"18/09/2018";"CHEVROLET· ONIX 1.4 LT· PLACA NEQ 8552";"2500,00"
