"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132977;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEÍCULO";"14000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132977;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO";"10000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132977;5;99;"OUTROS BENS E DIREITOS";"UM TRAILLER CARRETA CARGA REBOQUE";"15000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132978;1;19;"Outros bens imóveis";"UMA CHÁCARA";"100000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132980;1;12;"Casa";"UMA CASA EM ALVENARIA";"250000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132981;1;99;"OUTROS BENS E DIREITOS";"UMA CHÁCARA";"100000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132982;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO";"8500,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01112";"EPITACIOLÂNDIA";10002132983;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM CARRO";"40000,00";"06/10/2024";"19:06:57"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002385896;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 MOTO FAN ANO/MODELO 14/15 COR PRETA, PLACA QLU9E50";"7000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01392";"RIO BRANCO";10002389916;1;24;"Bem relacionado com o exercício da atividade autônoma";"Quotas da sociedade K. B. DE SOUZA ";"135000,00";"25/11/2024";"12:51:41"
